,분류,세부분류,관광정보 사례수,관광정보 불만족,관광정보 보통,관광정보 만족,관광정보 5점평균,관광정보 100점평균,관광지매력 사례수,관광지매력 불만족,관광지매력 보통,관광지매력 만족,관광지매력 5점평균,관광지매력 100점평균,교통정보 사례수,교통정보 불만족,교통정보 보통,교통정보 만족,교통정보 5점평균,교통정보 100점평균,관광지편의성 사례수,관광지편의성 불만족,관광지편의성 보통,관광지편의성 만족,관광지편의성 5점평균,관광지편의성 100점평균,쇼핑 사례수,쇼핑 불만족,쇼핑 보통,쇼핑 만족,쇼핑 5점평균,쇼핑 100점평균,숙박 사례수,숙박 불만족,숙박 보통,숙박 만족,숙박 5점평균,숙박 100점평균,여행경비 사례수,여행경비 불만족,여행경비 보통,여행경비 만족,여행경비 5점평균,여행경비 100점평균,음식 사례수,음식 불만족,음식 보통,음식 만족,음식 5점평균,음식 100점평균,대중교통 사례수,대중교통 불만족,대중교통 보통,대중교통 만족,대중교통 5점평균,대중교통 100점평균,주민친절 사례수,주민친절 불만족,주민친절 보통,주민친절 만족,주민친절 5점평균,주민친절 100점평균,치안 사례수,치안 불만족,치안 보통,치안 만족,치안 5점평균,치안 100점평균
0,월별,01월,429,7.4,38.6,54.0,3.62,65.39,467,5.2,17.2,77.6,3.98,74.5,437,13.9,38.3,47.8,3.4,60.1,466,5.0,31.3,63.7,3.74,68.4,389,8.8,41.8,49.4,3.54,63.56,432,3.2,19.9,76.9,3.97,74.36,477,25.5,39.7,34.9,3.13,53.19,454,6.1,23.7,70.3,3.86,71.38,135,16.9,41.2,42.0,3.3,57.46,457,8.7,29.9,61.4,3.72,68.02,481,3.7,24.7,71.6,3.92,73.02
1,월별,02월,367,4.8,40.6,54.6,3.61,65.37,400,2.8,23.2,74.0,3.93,73.3,369,16.3,36.9,46.8,3.37,59.3,402,2.6,34.4,62.9,3.73,68.34,313,4.9,42.7,52.4,3.58,64.61,372,2.8,16.7,80.5,4.06,76.42,410,25.3,44.8,29.9,3.03,50.64,398,5.2,20.8,74.0,3.9,72.53,168,27.7,36.0,36.3,3.09,52.25,393,6.7,32.7,60.6,3.72,68.01,405,2.3,29.9,67.8,3.9,72.38
2,월별,03월,462,1.4,22.5,76.0,3.98,74.5,477,0.3,9.2,90.6,4.34,83.47,441,5.8,19.2,75.0,3.88,71.98,477,0.5,16.0,83.4,4.13,78.35,371,2.7,27.6,69.7,3.79,69.7,434,1.8,10.2,88.0,4.23,80.69,479,18.4,29.8,51.7,3.42,60.54,469,2.2,13.7,84.1,4.07,76.64,89,28.7,28.1,43.2,3.14,53.53,457,3.7,23.0,73.3,3.9,72.39,476,1.6,11.0,87.4,4.13,78.36
3,월별,04월,574,0.5,5.5,94.0,4.34,83.59,575,0.0,0.9,99.1,4.61,90.3,559,0.5,7.6,91.9,4.24,80.93,575,0.1,5.6,94.3,4.41,85.23,496,1.1,13.3,85.6,4.08,76.88,557,0.9,3.9,95.2,4.37,84.29,575,4.5,22.8,72.7,3.82,70.61,551,2.0,10.1,87.9,4.11,77.73,48,11.3,44.6,44.2,3.38,59.58,572,1.4,7.3,91.4,4.18,79.42,576,0.2,3.4,96.4,4.23,80.74
4,월별,05월,563,0.2,1.4,98.4,4.35,83.78,566,0.0,0.4,99.6,4.67,91.73,559,0.9,3.1,96.0,4.17,79.29,567,0.3,1.5,98.2,4.52,87.99,437,0.6,6.8,92.6,4.27,81.65,550,1.2,2.8,96.0,4.38,84.55,567,3.1,10.7,86.2,4.02,75.39,526,0.8,4.2,95.1,4.31,82.68,44,11.4,37.6,51.0,3.49,62.28,556,1.2,4.6,94.2,4.21,80.25,567,0.2,0.9,98.9,4.23,80.87
5,월별,06월,554,0.9,4.8,94.2,4.29,82.29,554,0.2,2.1,97.7,4.59,89.69,519,1.7,6.5,91.7,4.2,79.98,554,0.3,5.1,94.7,4.4,85.1,406,0.1,8.9,91.0,4.25,81.21,528,0.5,2.7,96.8,4.44,85.94,553,5.5,22.3,72.2,3.87,71.74,536,0.8,7.6,91.7,4.28,81.95,17,14.5,47.7,37.9,3.16,54.04,553,2.1,11.9,85.9,4.13,78.13,552,0.3,2.7,97.0,4.25,81.25
6,월별,07월,523,0.8,5.7,93.6,4.25,81.37,526,0.0,2.6,97.4,4.59,89.64,476,3.4,7.2,89.4,4.24,81.02,525,0.5,5.2,94.3,4.44,85.94,334,0.4,12.0,87.6,4.24,80.88,512,0.5,2.9,96.5,4.43,85.7,527,5.6,23.8,70.5,3.87,71.65,517,1.5,5.5,93.1,4.27,81.68,46,26.4,32.0,41.6,3.22,55.44,508,3.3,17.7,79.1,4.05,76.22,528,0.2,4.9,94.8,4.24,80.91
7,월별,08월,529,0.8,7.0,92.2,4.23,80.63,538,0.3,3.4,96.4,4.56,89.01,396,1.6,7.1,91.3,4.23,80.72,538,0.5,5.4,94.0,4.37,84.16,419,0.6,16.6,82.8,4.08,76.97,521,0.5,2.4,97.1,4.42,85.53,540,7.1,31.0,61.8,3.71,67.67,526,0.3,6.2,93.5,4.3,82.48,42,17.1,31.4,51.4,3.4,60.0,527,1.9,14.5,83.6,4.05,76.28,539,0.7,5.0,94.3,4.14,78.6
8,월별,09월,510,0.7,2.8,96.5,4.45,86.29,515,0.0,0.8,99.2,4.63,90.74,397,0.6,4.6,94.8,4.46,86.5,513,0.0,2.0,98.0,4.53,88.15,443,0.8,11.8,87.4,4.29,82.23,504,0.3,2.4,97.3,4.51,87.77,516,5.7,24.5,69.8,3.95,73.84,508,1.2,4.9,93.9,4.39,84.74,19,6.4,51.4,42.2,3.45,61.23,495,0.5,6.7,92.8,4.36,84.07,516,0.2,1.1,98.7,4.37,84.3
9,월별,10월,529,0.0,4.4,95.6,4.33,83.18,530,0.2,3.1,96.7,4.52,87.9,451,1.1,7.3,91.6,4.31,82.69,530,0.2,3.7,96.0,4.42,85.44,430,1.1,13.4,85.5,4.08,77.1,523,0.0,2.0,98.0,4.47,86.76,528,6.0,28.7,65.3,3.77,69.32,523,0.9,8.6,90.5,4.25,81.22,20,25.2,19.1,55.8,3.43,60.71,530,1.9,15.9,82.2,4.03,75.68,530,0.5,1.9,97.7,4.2,80.0
10,월별,11월,487,0.5,3.7,95.8,4.32,83.08,489,0.2,3.3,96.5,4.51,87.83,397,0.6,11.0,88.4,4.28,81.97,489,0.7,5.0,94.3,4.44,85.94,397,0.6,10.3,89.1,4.2,80.0,475,0.3,2.5,97.2,4.52,88.0,489,3.0,27.4,69.6,3.84,70.97,479,0.7,5.4,93.9,4.36,84.05,22,20.2,37.7,42.1,3.28,57.05,474,1.0,10.4,88.6,4.15,78.81,489,0.2,4.4,95.4,4.19,79.79
11,월별,12월,477,0.2,6.2,93.5,4.2,79.99,478,0.5,2.5,97.1,4.53,88.15,471,1.3,7.4,91.3,4.19,79.65,479,0.5,4.0,95.6,4.34,83.42,421,0.6,9.2,90.2,4.17,79.32,470,0.2,1.8,98.0,4.45,86.22,478,2.3,26.7,71.0,3.85,71.16,469,0.2,7.3,92.5,4.24,81.08,30,7.8,45.1,47.1,3.59,64.82,460,0.3,13.6,86.0,4.06,76.59,479,0.0,2.8,97.2,4.17,79.28
